userID,email,passwordHash,accountType
1,seller1@example.com,s1hash,seller
2,seller2@example.com,s2hash,seller
3,seller3@example.com,s3hash,seller
4,seller4@example.com,s4hash,seller
5,seller5@example.com,s5hash,seller
6,seller6@example.com,s6hash,seller
7,seller7@example.com,s7hash,seller
8,seller8@example.com,s8hash,seller
9,seller9@example.com,s9hash,seller
10,seller10@example.com,s0hash,seller
11,seller11@example.com,s1hash,seller
12,seller12@example.com,s2hash,seller
13,seller13@example.com,s3hash,seller
14,seller14@example.com,s4hash,seller
15,seller15@example.com,s5hash,seller
16,seller16@example.com,s6hash,seller
17,seller17@example.com,s7hash,seller
18,seller18@example.com,s8hash,seller
19,seller19@example.com,s9hash,seller
20,seller20@example.com,s0hash,seller
21,seller21@example.com,s1hash,seller
22,seller22@example.com,s2hash,seller
23,seller23@example.com,s3hash,seller
24,seller24@example.com,s4hash,seller
25,seller25@example.com,s5hash,seller
26,seller26@example.com,s6hash,seller
27,seller27@example.com,s7hash,seller
28,seller28@example.com,s8hash,seller
29,seller29@example.com,s9hash,seller
30,seller30@example.com,s0hash,seller
31,customer31@example.com,c31hash,customer
32,customer32@example.com,c32hash,customer
33,customer33@example.com,c33hash,customer
34,customer34@example.com,c34hash,customer
35,customer35@example.com,c35hash,customer
36,customer36@example.com,c36hash,customer
37,customer37@example.com,c37hash,customer
38,customer38@example.com,c38hash,customer
39,customer39@example.com,c39hash,customer
40,customer40@example.com,c40hash,customer
41,customer41@example.com,c41hash,customer
42,customer42@example.com,c42hash,customer
43,customer43@example.com,c43hash,customer
44,customer44@example.com,c44hash,customer
45,customer45@example.com,c45hash,customer
46,customer46@example.com,c46hash,customer
47,customer47@example.com,c47hash,customer
48,customer48@example.com,c48hash,customer
49,customer49@example.com,c49hash,customer
50,customer50@example.com,c50hash,customer
51,customer51@example.com,c51hash,customer
52,customer52@example.com,c52hash,customer
53,customer53@example.com,c53hash,customer
54,customer54@example.com,c54hash,customer
55,customer55@example.com,c55hash,customer
56,customer56@example.com,c56hash,customer
57,customer57@example.com,c57hash,customer
58,customer58@example.com,c58hash,customer
59,customer59@example.com,c59hash,customer
60,customer60@example.com,c60hash,customer
